date,home_team,away_team,tournament,elo_diff,fifa_rank_diff,avg_goals_scored_last5,avg_goals_conceded_last5,form_points,wc_experience,is_neutral,h2h_win_rate,result
1990-04-17,Grenada,Curaçao,CFU Caribbean Cup qualification,0.0,16.5,0.0,0.0,0.0,0.0,0,0.5,1
1990-04-22,United States,Colombia,Friendly,11.51,69.5,1.55,0.75,-1.0,0.0,0,0.5,0
1990-04-22,Saint Vincent and the Grenadines,Dominica,CFU Caribbean Cup qualification,0.0,-61.5,0.0,0.0,0.0,0.0,0,0.5,2
1990-04-22,Martinique,French Guiana,CFU Caribbean Cup qualification,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5,2
1990-04-25,England,Czechoslovakia,Friendly,30.99,-13.0,1.0,-1.0,0.0,0.0,0,0.5,2
1990-04-25,Germany,Uruguay,Friendly,-24.0,-15.0,-0.6667,1.3333,-6.0,0.0,0,0.5,1
1990-04-25,Republic of Ireland,Russia,Friendly,-21.04,-2.0,-0.75,-0.75,-4.0,0.0,0,0.5,2
1990-04-25,Israel,Romania,Friendly,-8.67,53.0,-0.5,0.75,0.0,0.0,0,0.5,0
1990-04-25,Scotland,German DR,Friendly,-9.0,-81.5,-0.75,-1.5,0.0,0.0,0,0.5,0
1990-04-25,Sweden,Wales,Friendly,12.44,-24.0,1.0,-0.25,0.0,0.0,0,0.5,2
1990-04-29,Barbados,Antigua and Barbuda,CFU Caribbean Cup qualification,32.56,5.0,-0.3333,-2.3333,2.0,0.0,0,0.5,2
1990-04-29,Gabon,Martinique,Friendly,-12.5,-49.5,-4.0,0.0,-3.0,0.0,1,0.5,0
1990-04-29,Jamaica,Saint Kitts and Nevis,CFU Caribbean Cup qualification,-9.42,-37.5,-2.5,-0.5,0.0,0.0,0,0.5,2
1990-04-29,Suriname,Guyana,CFU Caribbean Cup qualification,0.0,-33.0,0.0,0.0,0.0,0.0,0,0.5,2
1990-05-01,Guadeloupe,Martinique,Friendly,-22.14,0.0,-3.0,0.0,-3.0,0.0,1,0.5,2
1990-05-03,Austria,Argentina,Friendly,39.7,24.0,2.0,-0.8333,0.0,0.0,0,0.5,1
1990-05-04,Colombia,Poland,Marlboro Cup,-28.56,15.0,-0.6,0.75,2.0,0.0,1,0.5,2
1990-05-05,United States,Malta,Friendly,-7.43,31.5,0.6,0.1,0.0,0.0,0,0.5,2
1990-05-05,Brazil,Bulgaria,Friendly,-10.0,-23.0,0.0,1.0,0.0,0.0,0,0.5,2
1990-05-06,Cayman Islands,Jamaica,Friendly,-13.41,89.0,-0.3333,0.6667,-2.0,0.0,0,0.5,0
1990-05-06,Costa Rica,Poland,Marlboro Cup,-16.76,17.0,0.0,0.7333,3.0,0.0,1,0.5,0
1990-05-06,Saint Martin,Guadeloupe,CFU Caribbean Cup qualification,1.86,0.0,2.0,0.0,3.0,0.0,0,0.5,2
1990-05-07,Jersey,Guernsey,Muratti Vase,-12.5,0.0,-4.0,0.0,-3.0,0.0,0,0.5,2
1990-05-08,Switzerland,Argentina,Friendly,19.14,2.0,0.6667,-0.3333,0.0,0.0,0,0.5,1
1990-05-08,Andalusia,Uruguay,Friendly,-13.88,88.5,-2.0,-1.25,-6.0,0.0,0,0.5,1
1990-05-09,United States,Poland,Friendly,-25.87,84.5,0.4,0.8,-2.0,0.0,0,0.5,2
1990-05-13,Brazil,German DR,Friendly,-28.16,-101.5,-0.6,-0.2,0.0,0.0,0,0.5,1
1990-05-13,Canada,Mexico,NAFU Championship,-29.5,32.0,-2.0,-0.3333,0.0,0.0,0,0.5,2
1990-05-13,Dominica,French Guiana,CFU Caribbean Cup qualification,0.0,61.5,1.0,-2.0,0.0,0.0,0,0.5,1
1990-05-13,Saint Lucia,Bermuda,CFU Caribbean Cup qualification,-3.36,46.5,-1.25,-0.75,-1.0,0.0,0,0.5,0
1990-05-15,England,Denmark,Friendly,9.11,-4.0,1.8333,0.6667,0.0,0.0,0,0.5,2
1990-05-15,Grenada,Suriname,CFU Caribbean Cup qualification,-12.5,26.0,-4.0,1.0,-2.0,0.0,1,0.5,2
1990-05-16,Israel,Russia,Friendly,-39.89,56.0,-0.4,2.2,-4.0,0.0,0,0.5,2
1990-05-16,Scotland,Egypt,Friendly,42.23,2.0,0.1,-1.1,0.0,0.0,0,0.5,0
1990-05-16,Republic of Ireland,Finland,Friendly,21.74,-38.0,0.0,-1.0,0.0,0.0,0,0.5,1
1990-05-17,Barbados,Suriname,Friendly,23.73,19.0,-2.25,-1.25,3.0,0.0,0,0.5,2
1990-05-18,Mauritania,Gambia,African Cup of Nations qualification,10.0,29.5,0.0,-1.0,0.0,0.0,0,0.5,2
1990-05-18,Northern Ireland,Uruguay,Friendly,-23.13,27.0,0.2,1.8,-6.0,0.0,0,0.5,2
1990-05-18,Zimbabwe,Eswatini,Friendly,9.44,-50.0,0.8333,0.3333,0.0,0.0,0,0.5,1
1990-05-19,Scotland,Poland,Friendly,-16.64,3.0,-0.3333,0.1333,-3.0,0.0,0,0.5,1
1990-05-19,Saint Kitts and Nevis,Guadeloupe,CFU Caribbean Cup qualification,-1.04,0.0,0.5,1.0,0.0,0.0,0,0.5,2
1990-05-20,Jamaica,Saint Martin,CFU Caribbean Cup qualification,-1.9,-37.5,-1.0,0.0,-3.0,0.0,0,0.5,2
1990-05-20,Guyana,Curaçao,CFU Caribbean Cup qualification,-12.5,23.5,-1.0,4.0,-1.0,0.0,0,0.5,1
1990-05-20,Wales,Costa Rica,Friendly,4.77,-9.0,0.25,1.0,-3.0,0.0,0,0.5,2
1990-05-21,Poland,United Arab Emirates,Friendly,30.01,-39.0,0.6,-0.8,1.0,0.0,1,0.5,2
1990-05-21,Romania,Egypt,Friendly,39.76,-10.0,1.0,-0.4,0.0,0.0,0,0.5,2
1990-05-22,England,Uruguay,Friendly,26.03,-11.0,0.6,-0.7333,-6.0,0.0,0,0.5,0
1990-05-22,Israel,Argentina,Friendly,9.7,54.0,1.1667,1.4167,0.0,0.0,0,0.5,0
1990-05-26,Turkey,Republic of Ireland,Friendly,-29.98,36.0,-1.0,0.6667,0.0,0.0,0,0.5,1
1990-05-26,Egypt,Colombia,Friendly,-42.65,-14.0,0.2,0.6,-5.0,0.0,0,0.5,1
1990-05-26,Yugoslavia,Spain,Friendly,0.81,14.0,-1.5,-1.5,0.0,0.0,0,0.5,0
1990-05-26,Germany,Czechoslovakia,Friendly,21.36,-17.0,1.3333,0.5,0.0,0.0,0,0.5,2
1990-05-26,Belgium,Romania,Friendly,-27.26,6.0,-2.2,-0.2,0.0,0.0,0,0.5,1
1990-05-26,Bermuda,Barbados,CFU Caribbean Cup qualification,-29.38,-56.0,-0.2,1.2,-2.0,0.0,0,0.5,1
1990-05-26,Gambia,Burkina Faso,Friendly,-22.14,7.5,0.0,1.5,0.0,0.0,0,0.5,1
1990-05-27,Antigua and Barbuda,Saint Lucia,CFU Caribbean Cup qualification,-7.04,4.5,0.75,0.75,1.0,0.0,0,0.5,0
1990-05-27,Curaçao,Suriname,CFU Caribbean Cup qualification,9.32,9.5,-1.0,-1.6667,-1.0,0.0,0,0.5,1
1990-05-27,Georgia,Lithuania,Friendly,0.0,63.0,0.0,0.0,0.0,0.0,0,0.5,1
1990-05-27,Guyana,Grenada,CFU Caribbean Cup qualification,-25.0,7.0,-1.5,2.0,-3.0,0.0,0,0.5,1
1990-05-27,Sweden,Finland,Friendly,12.59,-40.0,0.6,0.0,0.0,0.0,0,0.5,2
1990-05-28,Hungary,United Arab Emirates,Friendly,25.03,-23.0,0.6,-0.4,-2.0,0.0,1,0.5,2
1990-05-28,Malta,Scotland,Friendly,-11.97,50.0,-0.0833,0.0833,1.0,0.0,0,0.5,0
1990-05-29,Bermuda,Barbados,Friendly,-27.27,-56.0,0.0,1.0,-2.0,0.0,0,0.5,2
1990-05-30,Liechtenstein,United States,Friendly,-1.01,48.5,-2.0,-1.2,-1.0,0.0,0,0.5,0
1990-05-30,Italy,Greece,Friendly,-9.71,-29.0,-1.5,-0.5,0.0,0.0,0,0.5,1
1990-05-30,Martinique,Dominica,CFU Caribbean Cup qualification,24.0,-61.5,1.0,-1.1667,2.0,0.0,0,0.5,1
1990-05-30,Iceland,Albania,UEFA Euro qualification,8.26,-40.0,2.3333,1.6667,0.0,0.0,0,0.5,2
